ARTICLE TITLE                                                                                          , ARTICLE LINKS
"SimulaVR Has Been Subpoenaed by Meta Platforms, Inc (simulavr.com)"                                   , https://simulavr.com/blog/subpoenaed-by-meta/
"A working implementation of text-to-3D DreamFusion, powered by Stable Diffusion (github.com/ashawkey)", https://github.com/ashawkey/stable-dreamfusion
Show HN: RankedVote – SurveyMonkey but focused on ranked-choice voting (rankedvote.co)                 , https://www.rankedvote.co
Pimp My BBC Micro (github.com/dekunukem)                                                               , https://github.com/dekuNukem/RGBeeb/blob/master/README.md
False memory implantation in adults is easy (brainpizza.substack.com)                                  , https://brainpizza.substack.com/p/sins-of-memory
The life-changing effects of hallucinations (bbc.com)                                                  , https://www.bbc.com/future/article/20221005-how-to-hallucinate-without-drugs-and-learn-about-your-brain
Release (YC W20) Is Hiring Senior Software Engineer – Cloud Infrastructure (ycombinator.com)           , https://www.ycombinator.com/companies/release/jobs/DQlAy09AD-senior-software-engineer-cloud-infrastructure
Interactive Submarine Cable Map (submarinecablemap.com)                                                , https://www.submarinecablemap.com/
A Ruby program that generates itself through a 128-language quine loop (github.com/mame)               , https://github.com/mame/quine-relay/blob/master/QR.rb
Kim Jung Gi has died (latimes.com)                                                                     , https://www.latimes.com/entertainment-arts/story/2022-10-05/kim-jung-gi-death-heart-attack
Zerocal – A Serverless Calendar App in Rust (endler.dev)                                               , https://endler.dev/2022/zerocal/
AI’s Grandmaster Status Overshadows Chess Scandal (ieee.org)                                           , https://spectrum.ieee.org/magnus-carlsen-chess-scandal-ai
Celsius Execs Cashed Out $40M in Crypto Before Halting Withdrawals for Customers (gizmodo.com)         , https://gizmodo.com/celsius-execs-cashed-out-bitcoin-price-crypto-ponzi-1849623526
A Universal Cancer Treatment? (nautil.us)                                                              , https://nautil.us/a-universal-cancer-treatment-241231/
Brain on Psychedelics (nature.com)                                                                     , https://www.nature.com/articles/d41586-022-02874-7
TV backlight compensation (2020) (lofibucket.com)                                                      , http://www.lofibucket.com/articles/tv_backlight_compensation.html
Build C++ Graph Analytics Without Worrying About Memory (memgraph.com)                                 , https://memgraph.com/blog/build-graph-analytics-without-worrying-about-memory
American tourist smashes two sculptures in the Vatican (cnn.com)                                       , https://lite.cnn.com/en/article/h_5b2169b553c0536e383535ce2361b81c
Our domain and 700 non-profit sites got blocked by Meta (simonbackx.com)                               , https://www.simonbackx.com/blocked-by-meta/
UK Plans for Three-Hour Power Blackouts in Event of Gas Shortages (sky.com)                            , https://news.sky.com/story/energy-crisis-plan-for-three-hour-power-blackouts-to-prioritise-heating-in-event-of-gas-shortages-12713253
GE is laying off 20% of its workforce devoted to onshore wind power (cnbc.com)                         , https://www.cnbc.com/2022/10/06/ge-layoff-20percent-of-onshore-wind-workforce-hundreds-of-jobs.html
Is the AWS us-west-2 region experiencing an outage?                                                    , item?id=33110432
Cloud desktops aren't as good as you'd think (mjg59.dreamwidth.org)                                    , https://mjg59.dreamwidth.org/61535.html
The Tendency Towards Solving Wicked Problems Reductively (2019) [pdf] (catbox.moe)                     , https://files.catbox.moe/0114iq.pdf
Algorithmic Curation Impacts Media Exposure in Twitter Timelines (nsf.gov)                             , https://par.nsf.gov/servlets/purl/10301842
How to really know another person (hiddenbrain.org)                                                    , https://hiddenbrain.org/podcast/how-to-really-know-another-person/
Deferred Argument Evaluation (bannalia.blogspot.com)                                                   , http://bannalia.blogspot.com/2022/10/deferred-argument-evaluation.html
Recursive Functions of Symbolic Expressions Computation by Machine (1960) (stanford.edu)               , http://www-formal.stanford.edu/jmc/recursive/recursive.html
War and Peace and War – 35 to 32B.C.E. [video] (youtube.com)                                           , https://www.youtube.com/watch?v=HURI6EHXybc
How to kickstart and scale a consumer business by doing things that don’t scale (lennysnewsletter.com) , https://www.lennysnewsletter.com/p/consumer-business-find-first-users
